14154,Cereals,0,0,0,Dates,581.22,7268,1,Fruits,0,0,0,Olives,208.83,3682,3,Vegetables,0,0,0,3,3,2010,1248304.75,499321.902
2578,Cereals,0,0,0,Dates,708.24,7437,0,Fruits,211.09,5171,1,Olives,0,0,0,Vegetables,0,0,0,1,12,2019,1589681.82,635872.727
23020,Cereals,75.95,755,3,Dates,0,0,0,Fruits,0,0,0,Olives,0,0,0,Vegetables,45.93,3534,2,2,9,2022,54914.72,21965.887000000002
92202,Cereals,78.43,1301,2,Dates,0,0,0,Fruits,0,0,0,Olives,248.49,2166,0,Vegetables,136.8,3830,1,1,11,2012,291052.69,116421.077
86975,Cereals,79.37,2574,1,Dates,0,0,0,Fruits,346.33,7075,0,Olives,0,0,0,Vegetables,39.97,2805,1,1,4,1995,691674.74,276669.898
6599,Cereals,0,0,0,Dates,0,0,0,Fruits,0,0,0,Olives,272.06,2350,2,Vegetables,0,0,0,2,12,2022,159835.25,63934.100000000006
6990,Cereals,0,0,0,Dates,0,0,0,Fruits,0,0,0,Olives,0,0,0,Vegetables,0,0,0,2,6,2019,0.0,0.0
31701,Cereals,84.64,2468,0,Dates,513.46,7368,0,Fruits,148.98,8772,2,Olives,0,0,0,Vegetables,0,0,0,2,5,2010,1324729.34,529891.736
38197,Cereals,0,0,0,Dates,680.77,2791,2,Fruits,0,0,0,Olives,0,0,0,Vegetables,0,0,0,2,11,2000,475007.27,190002.907
27469,Cereals,0,0,0,Dates,725.13,2466,3,Fruits,0,0,0,Olives,202.72,3150,3,Vegetables,93.78,10891,2,2,9,2014,862024.14,344809.656
10105,Cereals,80.4,656,0,Dates,0,0,0,Fruits,386.2,9947,3,Olives,251.05,617,1,Vegetables,0,0,0,1,7,2011,1012292.91,404917.16500000004
88970,Cereals,87.55,1415,2,Dates,0,0,0,Fruits,0,0,0,Olives,0,0,0,Vegetables,129.68,13021,2,2,6,2012,453111.63,181244.65300000002
79422,Cereals,0,0,0,Dates,0,0,0,Fruits,352.12,6666,2,Olives,261.72,954,0,Vegetables,0,0,0,0,3,2007,649228.2,259691.28
65950,Cereals,85.58,329,1,Dates,673.45,5485,3,Fruits,0,0,0,Olives,0,0,0,Vegetables,0,0,0,3,12,2004,930507.27,372202.90700000006
74148,Cereals,79.93,264,0,Dates,0,0,0,Fruits,364.71,3177,1,Olives,0,0,0,Vegetables,50.48,3294,1,1,2,1997,336516.58,134606.63100000002
89563,Cereals,0,0,0,Dates,696.12,1060,2,Fruits,355.18,9056,3,Olives,0,0,0,Vegetables,109.78,3267,2,2,2,2000,1078262.14,431304.85400000005
56293,Cereals,75.26,1588,0,Dates,0,0,0,Fruits,194.28,8759,0,Olives,258.54,2156,2,Vegetables,116.83,14929,0,0,10,2001,1030694.68,412277.87100000004
93280,Cereals,0,0,0,Dates,255.37,1201,1,Fruits,310.68,5106,2,Olives,0,0,0,Vegetables,0,0,0,2,1,1995,473257.86,189303.14500000002
47659,Cereals,85.86,881,3,Dates,0,0,0,Fruits,272.17,3165,1,Olives,0,0,0,Vegetables,70.22,29849,2,2,1,2013,758264.37,303305.749
59060,Cereals,73.63,2907,3,Dates,0,0,0,Fruits,436.77,1081,2,Olives,213.81,804,2,Vegetables,148.35,18357,0,0,7,2011,895338.74,358135.497
32668,Cereals,70.23,2696,2,Dates,0,0,0,Fruits,375.06,3180,2,Olives,211.86,3809,3,Vegetables,0,0,0,3,2,2013,547251.41,218900.56200000003
31340,Cereals,0,0,0,Dates,0,0,0,Fruits,0,0,0,Olives,0,0,0,Vegetables,44.71,21980,3,3,3,2018,245681.45,98272.58000000002
1203,Cereals,0,0,0,Dates,0,0,0,Fruits,357.12,8252,3,Olives,0,0,0,Vegetables,94.25,17434,3,3,1,1996,1147527.19,459010.87400000007
74220,Cereals,87.4,2023,2,Dates,0,0,0,Fruits,158.57,2825,3,Olives,234.46,3546,3,Vegetables,69.15,23346,1,1,7,1994,767635.38,307054.151
31331,Cereals,85.76,1909,2,Dates,269.56,6888,1,Fruits,0,0,0,Olives,216.19,2466,1,Vegetables,0,0,0,1,1,1999,638392.42,255356.96600000001
60558,Cereals,0,0,0,Dates,0,0,0,Fruits,335.97,3311,2,Olives,0,0,0,Vegetables,51.22,21744,1,1,10,2003,556531.09,222612.43500000003
57516,Cereals,0,0,0,Dates,430.29,6310,0,Fruits,0,0,0,Olives,221.2,1000,0,Vegetables,102.95,2711,1,1,11,2009,803856.84,321542.73500000004
99859,Cereals,82.28,2811,0,Dates,717.71,5414,3,Fruits,291.82,8018,1,Olives,0,0,0,Vegetables,23.59,2192,1,1,4,1992,1627123.27,650849.3060000001
